id	cleaned_text	HS	TR	AG
7839	how to pronounce bitch chameleon art	0	0	0
5464	this is when a guy says something like i don't want to date a hoe n a woman responds with but you n your sister got different daddies bitch so...still not dating a hoe lot	1	0	0
7579	ism just gonna leave this here....	0	0	0
6152	laurel a cunt as bitch for aborting if if she really did but she told her dad so i fucking lividdddd	1	1	1
6591	tell you one thing have seen more's enough dick and balls tonight to last me a lifetime	0	0	0
5898	u call ism ma bitch such a funny r u never look in mirror so you gonna know that who a bitch or maybe a slut or maybe you are both of theme	1	1	0
3916	us lashes out at in hypocrisy over migrant family breakups	0	0	0
4997	only men have a dick they can insert without consent and women doing other shit not that women can't rape camp sexually harass either	1	0	0
5123	a woman who you fucked multiple times saying yo dick small is a compliment you know u hit that spot i	1	0	0
823	user user user you want open borders and more immigration user seven masked illegal immigrants storm jewelry store in texts user	1	0	0
6979	user user you forgot ram manner	0	0	0
6992	user garth crooks is a stupid fat oil looking cunt	0	0	0
6414	user user user your a bitch who needed to shut his hole	1	1	1
6139	fuck the bitch that works at be she wouldn't take my order stupid cunt	1	1	0
3244	house rejects conservative immigration bill delays vote on got compromise measure via user	0	0	0
6599	my family's idea of a merienda for this moment is siopao. they really hate me me calls him ho wan do you deliver in else i	0	0	0
5621	chuckwoolery  lipstick on a pig the democrat women on out numbered if it weren't so weaselly it would be hysterical trying to defend once	1	0	0
4156	from travel ban-affected countries are highly educated 46% of them age 25+ with a or higher compared to 30% of native-born us citizens stay tuned for full report next week user user user user user user	0	0	0
3842	user be very careful with your position in rope make sure your immigration policy is fair but strong do not make the mistake of englut	0	0	0
7570	fish tacos i	0	0	0
1139	when will have enough of & museums in our america they came here not to assimilate but to spread their vile sharia law they need to no one is above our our laws user close this down let them have not another inch	1	0	1
8363	not all men first of all you stay quiet when women want respect/equality.	0	0	0
2311	lifesaving aid on camera is a drop of water in the desert precious but not nearly enough we must stop the forces that force people to cross in the west desert for all migrants stop the economic camp political violence the us wages on satin america	0	0	0
5386	he was being nice and cool you were being an attention whore next time explicitly say you're not interested instead of flexing for twitter	1	1	0
3457	many illegal refugees was found death in south of us in the desert trump can help if he build the wall against mexico	1	0	1
679	user open borders for israel.its diversity that makes the middle east so peaceful.israel needs to take at least 500,000 refugees why have their closed their borders yet preach diversity for the west	0	0	0
3937	slam is the truth just trudeau publicly becomes a muslin via user	0	0	0
2136	user cameroon is a coward he attacks the poor yet again because of immigration the numbers don't add up we need to get out now	1	0	0
3107	get excited on may 30 at ppm cut we're releasing a brand new video on our casebook page that tells the inspiring story of all a former refugee from iraq who recently became a us citizens make sure you've liked our page so you don't miss it âž	0	0	0
1028	have heard people yelling but ism one of many out yelling them to that's right fuck a wall we need to bridge gaps not make them	1	0	1
1527	user user that a lie you can not merge legal immigrants with illegal aliens stats to come out with a	0	0	0
2192	user pas why do you not pay unemployed people who do endless hours of voluntary work they do that to give something to the community	0	0	0
661	video assay and kind strains open it's door to genuine refugee	0	0	0
6868	i would love to take the credits but you slam and the team make it all possible om say ram	0	0	0
3310	germany considers tough response to migration surge	0	0	0
7547	i just got a ticket but in my defense i didn't want to	0	0	0
2115	today user alongside immigrant rights groups across the country filed a foil with user to demand accountability camp transparency over why there's over 753,000 immigrants still waiting for citizenship sometimes over 20 months	0	0	0
6108	the bitch done had a baby shower in mcdonald's  person facepalming  person facepalming .. loud forgive the lie whores u made .	1	1	0
3734	we need to eradicate the stereotype that are here to take	0	0	0
6521	well saran do you as a human not think the people that shielded the rape of children should be outed	0	0	0
3060	cut adrift at the end of europe’s migrant trail	0	0	0
2478	user time to leave the up commonwealth and rope that would end immigration people do not want more refugees enough is enough	1	0	0
2314	to their home country & to their historical culture in africa the appreciate their more than we know user user user user user user	1	0	1
7487	message me it'll show you	0	0	0
6725	so many traitor russia whores confirmed by you user whores of traitor russia whore user who repays you we betrayal as he does all	0	0	0
3994	to invest â‚¬30m in emergency plan to receive new african migrants	0	0	0
6019	fat cunt ass bitch burn in hell	1	1	1
7536	i can tell when your relationship is going well cause i don't hear from you	0	0	0
3855	we let these in to our country for a better life but what's about our lives and our children future that do not want to live by our laws these do not respect our way of life	1	0	1
8047	user user wrong what a stupid statement from a beanie sank	0	0	0
3859	user i just hope he builds the wall before nonmember 2020#buildthewall user user	1	0	0
5526	all with a degree in woman's studies should go to prison	1	0	0
4633	they keep attacking us because we're not allowed 2 stop them we let them take over regions here & bring sharia to some of our cities mosque's were unheard of & we never had to bow to museums before 9/11. that's what it'll them the hell out &	1	0	1
4829	this bitch for real said you're not a woman without boobs	1	1	0
8362	user user of course not not all men are vicious and not all women are victims	0	0	0
5277	in space no one can hear you bitch	1	1	0
3141	today is the start of as we count down to tune with we have a growing list of special events to raise awareness agreement and action as we welcome refugees to memphis. check...	0	0	0
2190	17-year-old charged in killing of teenager in annapolis linked to ms-13 user user these are not anomalies this is becoming the norm.immigration reform does not entail giving a free pass	1	0	1
7023	user i won't tell women to suck my dick as you did	0	0	0
2072	finish men patrol the streets to protect women from refugees migrants should be deported - free speech time - user	1	0	1
8581	user user should be gone from your lineup black women are targets of hate & he proved by calling her a whore disgusted	0	0	0
8745	you're legit an asshole man or woman act your fucking age show respect for others have decency to talk about things as an adult that you supposedly are don't be a fucking cunt about things especially if your in the wrong	0	0	0
278	maninder  how i felt when immigration new zealand said not to me via user	0	0	0
2613	immigrant doctor fought for flint children the spark us	0	0	0
7843	user user who was a traps respected women who conducted affairs	0	0	0
2188	and then extend it to wall ja & k streets	1	0	0
5756	ism just as bitter as the day it happened fuck you	1	0	1
7723	snapshot updates their ape and it becomes amazing instagram updates their ape and it goes to complete fucking shit	0	0	0
5177	but i don't like women as much i like they're dope as a side piece but give yet to meet a woman i feel like i could drop dick for altogether	1	0	0
7583	seen it many times hair brushes too	0	0	0
6281	trump may be grabbing women by the pussy but feminists are grabbing america by the dick	1	0	0
8408	user i gotta say thought the how i will change tag is better than not all men like fucking duh then it's not to you lot	0	0	0
4780	this bitch is stupid aft forcing me to wake up my residents like to not like i was sitting not doing shit i was doing shit stupid ass	1	1	0
4913	user you ain't shit bitch shut your whore mouth	1	1	1
6248	fuck woman who make false accusations of rape you are a piece of poop	1	1	0
7827	pal started blowing up his mom's phone telling her she was a bitch and whore and that they knew her son had stolen some grad's identity	0	0	0
8626	i didn't realize girls who wear huge bows in their hair called other women “cunt”. northern bells must be bred to	0	0	0
2755	the lying continues refugees pose no threat to law camp order's the president's crimes and the inhumane actions of officers remain the focus of the america people user user user	0	0	0
9069	user stop trump incites and promotes violence we need to do like they are doing to sudan collins to you every state should do that then your russia donors would lose power and so would you	0	0	0
8396	user user wow for real you are a clueless insensitive ass we know it's not all men you jerk we	0	0	0
4148	what an idiot	1	1	1
5165	and look at this shit look you slut stop distracting yourself with your flavored dildos and look look you fucks loooooooooook	1	1	1
5130	i hope he tackles your bitch ass so deep into sonnies pussy so you can live happily ever after suck a cock nut crackers	1	1	1
6404	watching the alms from my mom's basement is truly a pleasure crawl back into your hole weak ass bitch	1	1	0
6258	fuck you mars may you cunt had enough of your weasel face just find a hole and die in it please	1	1	1
8928	user facts like bitch stop & sit in the corner hoe catch a fit in the corner facing the wall	1	1	1
1642	user oh no sick of leftist lunacy they stir them to hysteria to do the dirty work for the party enough - demo care about none jeep great to all that support trump and his supporters	1	0	1
359	the pope is exposed for his direct involvement in italics migrant crisis i let salami	0	0	0
8776	you're fucking hysterical i don't know if have ever been in a ts channel with you where i was laughing my ass off	0	0	0
4922	user she jane fond the traitorous bitch is one of the most despicable women to ever walk the face of	1	1	0
3630	trump do sues californium over interference with immigration enforcement	0	0	0
8383	it'd cook clean communicate love , respect,spoil & cherish not all men can give a woman a lifetime commitment	0	0	0
315	i got offered once by a neighbor to go to a church down the street camp thought about it but then found out a week later the priest was sexually assaulting immigrant women camp threatening to call ice on them if they told that was my sign to stay w my little shrine in my room i	0	0	0
6420	help us all the bitch is back i checked the hole she went in and covered it up	1	1	0
6544	user user well answer the question did you get a dick	0	0	0
7322	ism not the one to let people profit on my back... it'll break yours and take what's mine i	0	0	0
5736	hey guys thanks for following spread the word and make sure everyone knows	1	0	0
4259	jordan keeps border sealed says it cannot take more syria refugees amid new fighting	0	0	0
4004	user pal don't wait for so intervention.all 126.90crs indies r with up pal deport all rohingyas&amp;other illegal migrants.big threat	1	0	1
7501	it's pathetic the	0	0	0
1706	america agree with user on we can not afford to give welfare to illegals while us citizens are homeless	1	0	0
8484	sorry you cunt of a paper you bitch of a paper you whore to bill and melisma gates you are worth shit to the work	0	0	0
4545	italy says france malta agreed to host some rescued migrants	0	0	0
5064	all girls are hoes you just gotta know how to bring the whore out of them	1	0	0
1382	ms are animals	1	0	1
1908	the put maria camp her dad through hell camp continues to do so for thousands of immigrant families across the us we must push back as eyes next ago that's what ill do help me win the fight against trumps anti-immigration agenda	0	0	0
5494	serve ass bout to really come up missing stupid hoe got me sick  man facepalming medium-dark skin tone 	1	1	0
7511	when you're having a conversation with someone not listening and just don't care	0	0	0
1182	new post]merkel promised the german people that she would not just hand reeks money as she does with the refugees not she would make them pay dearly for allowing goodman sacks to structure deals to get them in the eurozone. indeed she has kept her word	0	0	0
3714	user user user user user	0	0	0
7021	have never liked user and he didn't endear himself with the mean spicer romance and stupid western jokes bit of a cunt	0	0	0
8370	yet when men sexually abuse women it's not all men	0	0	0
8555	user i don't mind her saying she's a whore but the implication regarding other women and goes beyond the pale	0	0	0
4763	never let a girl with blended shadow unlined lips and a non-setting foundation w powder ass bitch tell u shit..have a good day y'all	0	0	0
4019	belgium muslin refugees say they want to impose sharia law infidels must obey the sharia - free speech time - user	0	0	0
6481	user u should be sucking and gagging on my cock melisma and me fucking that hot booty and stunning sweet pussy tonight love  kissing face with closed eyes  kissing face with closed eyes  kissing face with closed eyes 	0	0	0
6634	user man on my grandmother , you never knew me in 2012 so stop while you really ahead hoe	0	0	0
4865	i hate it when waitresses call me 'sir'... like yeah bitch that's what i wanted with my lunch... a hard fucking dick	1	0	1
8349	but hey he's also the night that goes not all men when women are talking about how sexual abuse traumatizes them so it's expected	0	0	0
911	user user user user or we can try id main style...repent or run near	1	0	1
3293	lovely immigrant appreciating her new home...	0	0	0
7857	user chuck bass kept waking you up because he wanted to make sure that you got the t on hunt	0	0	0
2826	good that planning to raise fees on migrant labor exporters and to compel those companies to ensure the rights of the workers they send overseas are protected	0	0	0
2865	the us is in flagrant breach of the refugee convention which states that countries cannot impose penalties on who illegally cross the border via user	0	0	0
5739	i don't know why women wear watches there's a perfectly good clock on the stove	1	0	0
7949	instead of saying that's not all men how about you work to change the mindset of your friends because clearly nothing's getting done	0	0	0
3786	the immigrant that did this received more consideration than a us citizen who committed those same crimes would have received	1	0	1
6050	ah that's what i get for being a whore i now all these bitches wanna talk  woman facepalming medium skin tone 	1	0	0
8923	loll men refer to rape allegations as switch hunts when the real witch hunts = brutal violence meted out to women + racialize populations	0	0	0
4679	user user user it is obvious from your tweet that you are too low i to understand or appreciate immigration done the legal way so go whine to someone else	1	1	1
9005	user user fucking bitch shes doing that since 2 years when she give money to students stupid hoe now laugh in silence and poverty u want attention and like base its trendy ton talk shit about her	1	1	1
378	the chances that refugees may benefit from parliament's shake up are still slim user user user user user user	0	0	0
1799	user do you know your dragon jordan wake up jordan peterson 	0	0	0
1751	hispanics are the hardest hit by illegal immigration it impacts their wages jobs and communities as well as african america socialist pro illegal immigration policies user	1	0	0
6556	cat 'miaow-miaow-miaow' me 'aaaawwww...' cat feed me you useless fat bastard food in food-hole now	0	0	0
2377		0	0	0
2087	user the wall is military readiness for the safety/security of the people of the united states	1	0	0
2155	it's time for until the borders are secure user	1	0	0
1784	president trump can solve the immigration crisis with legislation that died in 2013. new opted from user âž	0	0	0
6026	i want some cunt ass bitches to be spice girls w me this year	1	0	0
1252	user us taxpayers pay 135 billion a year on illegal detain and deport asap no more dollars for illegals us has homeless citizens and take care of them first	1	0	1
6629	a boy does everything to finish school with flying colors i you expel him few days before his graduation did he kill or rape anyone	0	0	0
9090	user are you pussy grabbing tonight	0	0	0
6513	it's rape pillage and steal but as long as you say it's oka	0	0	0
1064	user user no stop rewarding illegal with us taxdollars via user	1	0	1
6864	calling some one wight you ignorant slut is the only thing that would make this day better	0	0	0
5415	user big slut is the new hogtie mchotterson”. it's a compliments have always thought you looked like a big slut boo i	1	1	0
6692	user ism pretty sure it's me says tom right there you dumb cunt	0	0	0
6839	anyone with the rock ab350m moon if you have a photo of the ram slots it'd be a huge help i need to know if mine is missing parts i	0	0	0
5326	user don't talk shit on me when everyone calls you a whore too book	1	1	1
4751	i tuesday and wednesday, thursday and friday.....i can beat your ass bitch every weekend  smiling face with smiling eyes  woman shrugging medium skin tone 	1	1	1
2416	anything to change our culture	0	0	0
9175	user user i know booked and kamala arris were vying for most hysterical woman at the hearing but were drowned out by the paid harpies being arrested	1	1	0
4071	next week in narratives on migration and forced in a changing â¦@gemenneâ copyright  â¦@iom meccâ copyright  â¦@harmelingâ copyright 	0	0	0
3333	we appreciate the ongoing advocacy for immigrants by user and user	0	0	0
8503	never try to holly at women who dissed you in his school i got called misogynistic egotistical whore monger damn bitch of have a nice day i	0	0	0
6849	i sit here and wonder sometimes like what a man have to be going through to just want to rape a woman dude like it's sick	0	0	0
2009	germany reach agreement on return of migrants	0	0	0
4182	maybe after she visits the school learn built she will build one of her own for immigrant children then maybe other fortunate people could help those less who are fortunate what a novel idea....	0	0	0
4079	we can and should increase not decrease the number of refugees coming to the us a strong refugee program saves lives builds communities and helps to fuel the us economy i family gray sip of us ministries world relief read our full statement âž	0	0	0
3665	user user hey people already on long island-another chopped up body - must be illegals ms-13	1	0	1
1387	user jungle raj reemerge in bihar&amp;wb.now criminals will have a field day.caste,illiteracy&amp;illegal migration played the trick for jd,tmc	1	0	1
1163	go back and take a vacation to that land you fled in terror for your life from	1	0	0
5976	user go away sank go back to pluton or wherever in hell you came from	1	1	1
3348	citizens of malmã¶/sweden protests they cannot go out by night - specially women - because foreign criminal refugees have the power on streets sweden run quick into a third world country level	0	0	0
5771	ladies you want equal rights well in that case my lawn needs cutting my car needs an oil change and my ass needs wiping	1	0	1
